ID,End1,End2,Length Raw,Adjustment,Length,,,,,,,,,,,,,,,
H2,1,4,4.25,,4.25,,,,,,,,,,,,,,,
L7,3,4,5.25,,5.25,,,,,,,,,,,,,,,
F5,1,2,6.5,,6.5,,,,,,,,,,,,,,,
D4,2,3,6.75,1,6.875,,,,,,,,,,,,,,,
H3,1,4,7,-1,6.875,,,,,,,,,,,,,,,
L2,1,4,7.5,,7.5,,,,,,,,,,,,,,,
F8,0,1,8.75,,8.75,,,,,,,,,,,,,,,
L6,0,2,11.5,,11.5,,,,,,,,,,,,,,,
D3,0,2,19.75,1,19.875,,,,,,,,,,,,,,,
H1,1,4,22.25,,22.25,,,,,,,,,,,,,,,
L5,1,0,22.5,,22.5,,,,,,,,,,,,,,,
H5,0,3,25,1,25.125,,,,,,,,,,,,,,,
D7,0,4,25.25,-1,25.125,,,,,,,,,,,,,,,
F1,0,4,26,-1,25.875,,,,,,,,,,,,,,,
L3,0,4,26.5,,26.5,,,,,,,,,,,,,,,
B3,0,4,27.5,,27.5,,,,,,,,,,,,,,,
F6,3,4,28,-1,27.875,,,,,,,,,,,,,,,
D1,0,2,30.5,,30.5,,,,,,,,,,,,,,,
F7,0,1,33,1,33.125,,,,,,,,,,,,,,,
D2,3,4,35.25,,35.25,,,,,,,,,,,,,,,
F2,1,0,35.25,,35.25,,,,,,,,,,,,,,,
H4,0,2,49.25,,49.25,,,,,,,,,,,,,,,
F4,1,4,50.25,1,50.375,,,,,,,,,,,,,,,
B4,0,1,51,,51,,,,,,,,,,,,,,,
B5,0,4,56.5,-1,56.375,,,,,,,,,,,,,,,
F3,0,4,64.25,,64.25,,,,,,,,,,,,,,,
D5,3,4,66.25,,66.25,,,,,,,,,,,,,,,
L1,0,4,82.25,-1,82.125,,,,,,,,,,,,,,,
B1,0,4,89.5,1,89.625,,,,,,,,,,,,,,,
D8,1,4,89.75,,89.75,,,,,,,,,,,,,,,
D6,0,1,94.75,,94.75,,,,,,,,,,,,,,,
B2,0,0,112.25,,112.25,,,,,,,,,,,,,,,
B6,1,4,118.25,,118.25,,,,,,,,,,,,,,,
L4,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Type,1,2,3,4,0,,,,
,,,,,,,,,,,Count,14,7,6,19,22,,,,
,,,,,,,,,,,,,,,,,68,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Parameter,Value
,,,,,,,,,,,,,,,,,,,SmallNum,0.125
